acklnzl1,Auckland,NZ
atlagax1,Atlanta,US
bgtacol1,Bogota,CO
chcoilx1,Chicago,US
dllstxx1,Dallas,US
dnvrcox1,Denver,US
dtcrakx1,Dutch Harbor,US
frntdeu1,Frankfurt,DE
frtabra1,Fortaleza,BR
iqltcan1,Iqaluit,CA
jtnaidn1,Jakarta,ID
krcipak1,Karachi,PK
lgosnga1,Lagos,NG
limaper1,Lima,PE
lndngbr1,London,GB
lsancax1,Los Angeles,US
mdrdesp1,Madrid,ES
mmbiind1,Mumbai,IN
mnlaphl1,Manila,PH
nwyynyx1,New York,US
prthaus1,Perth,AU
pthpakx,Point Hope,US
qrtomex1,Mexico City,MX
rdmdwax3/rdmdwax3rk3,Redmond,US
sngesgp1,Singapore,SG
sntochl1,Santiago,CL
splobra1,Sao Paulo,BR
sttlwax1/sttlwax9,Seattle,US
sydyaus1,Sydney,AU
tkyojpn1,Tokyo,JP-13
